district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid,state_name
56,urban,all ages,24305,13222,11083,5088,2080,3008,19217,11142,8075,0,0,0,True,uttarakhand
57,total,all ages,391605,193991,197614,111049,38596,72453,280556,155395,125161,0,0,0,True,uttarakhand
57,rural,all ages,332209,160369,171840,99906,33498,66408,232303,126871,105432,0,0,0,True,uttarakhand
57,urban,all ages,59396,33622,25774,11143,5098,6045,48253,28524,19729,0,0,0,True,uttarakhand
58,total,all ages,242285,114589,127696,71352,22786,48566,170933,91803,79130,0,0,0,True,uttarakhand
58,rural,all ages,232360,108740,123620,69416,21887,47529,162944,86853,76091,0,0,0,True,uttarakhand
58,urban,all ages,9925,5849,4076,1936,899,1037,7989,4950,3039,0,0,0,True,uttarakhand
59,total,all ages,618931,297986,320945,210937,70580,140357,407994,227406,180588,0,0,0,True,uttarakhand
59,rural,all ages,548792,259381,289411,196016,64025,131991,352776,195356,157420,0,0,0,True,uttarakhand
59,urban,all ages,70139,38605,31534,14921,6555,8366,55218,32050,23168,0,0,0,True,uttarakhand
60,total,all ages,1696694,892199,804495,437188,189983,247205,1259506,702216,557290,0,0,0,True,uttarakhand
60,rural,all ages,754753,392891,361862,236917,100509,136408,517836,292382,225454,0,0,0,True,uttarakhand
60,urban,all ages,941941,499308,442633,200271,89474,110797,741670,409834,331836,0,0,0,True,uttarakhand
61,total,all ages,687271,326829,360442,192382,64681,127701,494889,262148,232741,0,0,0,True,uttarakhand
61,rural,all ages,574568,268029,306539,170010,54674,115336,404558,213355,191203,0,0,0,True,uttarakhand
61,urban,all ages,112703,58800,53903,22372,10007,12365,90331,48793,41538,0,0,0,True,uttarakhand
62,total,all ages,483439,239306,244133,137889,49683,88206,345550,189623,155927,0,0,0,True,uttarakhand
62,rural,all ages,413834,202930,210904,124578,43201,81377,289256,159729,129527,0,0,0,True,uttarakhand
62,urban,all ages,69605,36376,33229,13311,6482,6829,56294,29894,26400,0,0,0,True,uttarakhand
63,total,all ages,259898,124326,135572,80415,26780,53635,179483,97546,81937,0,0,0,True,uttarakhand
63,rural,all ages,250819,119615,131204,78653,26027,52626,172166,93588,78578,0,0,0,True,uttarakhand
63,urban,all ages,9079,4711,4368,1762,753,1009,7317,3958,3359,0,0,0,True,uttarakhand
64,total,all ages,622506,291081,331425,186009,59477,126532,436497,231604,204893,0,0,0,True,uttarakhand
64,rural,all ages,560192,257359,302833,177103,55540,121563,383089,201819,181270,0,0,0,True,uttarakhand
64,urban,all ages,62314,33722,28592,8906,3937,4969,53408,29785,23623,0,0,0,True,uttarakhand
65,total,all ages,259648,131125,128523,81922,29110,52812,177726,102015,75711,0,0,0,True,uttarakhand
65,rural,all ages,221305,110842,110463,71395,24463,46932,149910,86379,63531,0,0,0,True,uttarakhand
65,urban,all ages,38343,20283,18060,10527,4647,5880,27816,15636,12180,0,0,0,True,uttarakhand
66,total,all ages,954605,493666,460939,258105,107887,150218,696500,385779,310721,0,0,0,True,uttarakhand
66,rural,all ages,582871,299257,283614,164901,65003,99898,417970,234254,183716,0,0,0,True,uttarakhand
66,urban,all ages,371734,194409,177325,93204,42884,50320,278530,151525,127005,0,0,0,True,uttarakhand
67,total,all ages,1648902,858783,790119,611063,260258,350805,1037839,598525,439314,0,0,0,True,uttarakhand
67,rural,all ages,1062142,550470,511672,409425,171033,238392,652717,379437,273280,0,0,0,True,uttarakhand
67,urban,all ages,586760,308313,278447,201638,89225,112413,385122,219088,166034,0,0,0,True,uttarakhand
68,total,all ages,1890422,1005295,885127,712068,313884,398184,1178354,691411,486943,0,0,0,True,uttarakhand
68,rural,all ages,1197328,633784,563544,514712,224731,289981,682616,409053,273563,0,0,0,True,uttarakhand
68,urban,all ages,693094,371511,321583,197356,89153,108203,495738,282358,213380,0,0,0,True,uttarakhand
272,total,all ages,479148,247323,231825,214671,99311,115360,264477,148012,116465,0,0,0,True,manipur
272,rural,all ages,471672,243603,228069,212694,98474,114220,258978,145129,113849,0,0,0,True,manipur
272,urban,all ages,7476,3720,3756,1977,837,1140,5499,2883,2616,0,0,0,True,manipur
273,total,all ages,140651,72371,68280,55645,24968,30677,85006,47403,37603,0,0,0,True,manipur
273,rural,all ages,121288,62534,58754,50786,22805,27981,70502,39729,30773,0,0,0,True,manipur
273,urban,all ages,19363,9837,9526,4859,2163,2696,14504,7674,6830,0,0,0,True,manipur
274,total,all ages,274143,138820,135323,78208,34807,43401,195935,104013,91922,0,0,0,True,manipur
274,rural,all ages,255786,129659,126127,74268,33155,41113,181518,96504,85014,0,0,0,True,manipur
274,urban,all ages,18357,9161,9196,3940,1652,2288,14417,7509,6908,0,0,0,True,manipur
275,total,all ages,237399,118782,118617,81066,31469,49597,156333,87313,69020,0,0,0,True,manipur
275,rural,all ages,149894,75171,74723,54336,21140,33196,95558,54031,41527,0,0,0,True,manipur
275,urban,all ages,87505,43611,43894,26730,10329,16401,60775,33282,27493,0,0,0,True,manipur
276,total,all ages,422168,210845,211323,152864,58228,94636,269304,152617,116687,0,0,0,True,manipur
276,rural,all ages,270835,135470,135365,106465,40756,65709,164370,94714,69656,0,0,0,True,manipur
276,urban,all ages,151333,75375,75958,46399,17472,28927,104934,57903,47031,0,0,0,True,manipur
277,total,all ages,517992,255054,262938,125366,49069,76297,392626,205985,186641,0,0,0,True,manipur
277,rural,all ages,195113,96948,98165,55722,21979,33743,139391,74969,64422,0,0,0,True,manipur
277,urban,all ages,322879,158106,164773,69644,27090,42554,253235,131016,122219,0,0,0,True,manipur
278,total,all ages,456113,226094,230019,131449,52780,78669,324664,173314,151350,0,0,0,True,manipur
278,rural,all ages,272906,136789,136117,89025,35852,53173,183881,100937,82944,0,0,0,True,manipur
278,urban,all ages,183207,89305,93902,42424,16928,25496,140783,72377,68406,0,0,0,True,manipur
279,total,all ages,183998,94718,89280,54169,24570,29599,129829,70148,59681,0,0,0,True,manipur
279,rural,all ages,156811,80801,76010,48167,21823,26344,108644,58978,49666,0,0,0,True,manipur
279,urban,all ages,27187,13917,13270,6002,2747,3255,21185,11170,10015,0,0,0,True,manipur
280,total,all ages,144182,74579,69603,53880,23526,30354,90302,51053,39249,0,0,0,True,manipur
280,rural,all ages,127335,65909,61426,47318,20766,26552,80017,45143,34874,0,0,0,True,manipur
280,urban,all ages,16847,8670,8177,6562,2760,3802,10285,5910,4375,0,0,0,True,manipur
35,total,all ages,2298323,1212617,1085706,663604,304957,358647,1634719,907660,727059,0,0,0,True,punjab
35,rural,all ages,1639004,855784,783220,522467,238932,283535,1116537,616852,499685,0,0,0,True,punjab
35,urban,all ages,659319,356833,302486,141137,66025,75112,518182,290808,227374,0,0,0,True,punjab
36,total,all ages,815168,426311,388857,238601,110057,128544,576567,316254,260313,0,0,0,True,punjab
36,rural,all ages,532706,275932,256774,171930,79013,92917,360776,196919,163857,0,0,0,True,punjab
36,urban,all ages,282462,150379,132083,66671,31044,35627,215791,119335,96456,0,0,0,True,punjab
37,total,all ages,2193590,1145211,1048379,571053,262630,308423,1622537,882581,739956,0,0,0,True,punjab
37,rural,all ages,1032419,528790,503629,304285,135923,168362,728134,392867,335267,0,0,0,True,punjab
37,urban,all ages,1161171,616421,544750,266768,126707,140061,894403,489714,404689,0,0,0,True,punjab
38,total,all ages,1586625,809057,777568,386926,171130,215796,1199699,637927,561772,0,0,0,True,punjab
38,rural,all ages,1251656,634470,617186,315821,137838,177983,935835,496632,439203,0,0,0,True,punjab
38,urban,all ages,334969,174587,160382,71105,33292,37813,263864,141295,122569,0,0,0,True,punjab
39,total,all ages,612310,313291,299019,173851,74136,99715,438459,239155,199304,0,0,0,True,punjab
39,rural,all ages,486894,248118,238776,141299,59506,81793,345595,188612,156983,0,0,0,True,punjab
39,urban,all ages,125416,65173,60243,32552,14630,17922,92864,50543,42321,0,0,0,True,punjab
40,total,all ages,600163,320795,279368,174130,82099,92031,426033,238696,187337,0,0,0,True,punjab
40,rural,all ages,414681,220050,194631,126341,59128,67213,288340,160922,127418,0,0,0,True,punjab
40,urban,all ages,185482,100745,84737,47789,22971,24818,137693,77774,59919,0,0,0,True,punjab
41,total,all ages,3498739,1867816,1630923,938514,439468,499046,2560225,1428348,1131877,0,0,0,True,punjab
41,rural,all ages,1429031,753444,675587,426962,196148,230814,1002069,557296,444773,0,0,0,True,punjab
41,urban,all ages,2069708,1114372,955336,511552,243320,268232,1558156,871052,687104,0,0,0,True,punjab
42,total,all ages,995746,525920,469826,367857,177371,190486,627889,348549,279340,0,0,0,True,punjab
42,rural,all ages,768500,405704,362796,300497,144979,155518,468003,260725,207278,0,0,0,True,punjab
42,urban,all ages,227246,120216,107030,67360,32392,34968,159886,87824,72062,0,0,0,True,punjab
43,total,all ages,2029074,1071637,957437,801563,364567,436996,1227511,707070,520441,0,0,0,True,punjab
43,rural,all ages,1476518,776208,700310,635698,286746,348952,840820,489462,351358,0,0,0,True,punjab
43,urban,all ages,552556,295429,257127,165865,77821,88044,386691,217608,169083,0,0,0,True,punjab
44,total,all ages,901896,475622,426274,377048,175221,201827,524848,300401,224447,0,0,0,True,punjab
44,rural,all ages,649705,342202,307503,294544,137269,157275,355161,204933,150228,0,0,0,True,punjab
44,urban,all ages,252191,133420,118771,82504,37952,44552,169687,95468,74219,0,0,0,True,punjab
45,total,all ages,617508,326671,290837,236223,110904,125319,381285,215767,165518,0,0,0,True,punjab
45,rural,all ages,400457,210782,189675,170658,80482,90176,229799,130300,99499,0,0,0,True,punjab
45,urban,all ages,217051,115889,101162,65565,30422,35143,151486,85467,66019,0,0,0,True,punjab
46,total,all ages,1388525,743197,645328,543657,254936,288721,844868,488261,356607,0,0,0,True,punjab
46,rural,all ages,889308,474484,414824,396116,186952,209164,493192,287532,205660,0,0,0,True,punjab
46,urban,all ages,499217,268713,230504,147541,67984,79557,351676,200729,150947,0,0,0,True,punjab
47,total,all ages,769751,408732,361019,346191,164695,181496,423560,244037,179523,0,0,0,True,punjab
47,rural,all ages,606147,322184,283963,292903,140081,152822,313244,182103,131141,0,0,0,True,punjab
47,urban,all ages,163604,86548,77056,53288,24614,28674,110316,61934,48382,0,0,0,True,punjab
48,total,all ages,1895686,1002522,893164,628895,291470,337425,1266791,711052,555739,0,0,0,True,punjab
48,rural,all ages,1132406,598800,533606,443568,205360,238208,688838,393440,295398,0,0,0,True,punjab
48,urban,all ages,763280,403722,359558,185327,86110,99217,577953,317612,260341,0,0,0,True,punjab
49,total,all ages,2490656,1318408,1172248,805886,385427,420459,1684770,932981,751789,0,0,0,True,punjab
49,rural,all ages,1156045,607266,548779,466598,221231,245367,689447,386035,303412,0,0,0,True,punjab
49,urban,all ages,1334611,711142,623469,339288,164196,175092,995323,546946,448377,0,0,0,True,punjab
50,total,all ages,1119627,589369,530258,453465,212942,240523,666162,376427,289735,0,0,0,True,punjab
50,rural,all ages,977832,514322,463510,407719,191157,216562,570113,323165,246948,0,0,0,True,punjab
50,urban,all ages,141795,75047,66748,45746,21785,23961,96049,53262,42787,0,0,0,True,punjab
51,total,all ages,684627,357485,327142,181896,78951,102945,502731,278534,224197,0,0,0,True,punjab
51,rural,all ages,506820,264089,242731,141898,60713,81185,364922,203376,161546,0,0,0,True,punjab
51,urban,all ages,177807,93396,84411,39998,18238,21760,137809,75158,62651,0,0,0,True,punjab
52,total,all ages,994628,529253,465375,258053,119309,138744,736575,409944,326631,0,0,0,True,punjab
52,rural,all ages,450017,240984,209033,136448,62451,73997,313569,178533,135036,0,0,0,True,punjab
52,urban,all ages,544611,288269,256342,121605,56858,64747,423006,231411,191595,0,0,0,True,punjab
53,total,all ages,1655169,878029,777140,653092,307616,345476,1002077,570413,431664,0,0,0,True,punjab
53,rural,all ages,1139204,604653,534551,480347,227066,253281,658857,377587,281270,0,0,0,True,punjab
53,urban,all ages,515965,273376,242589,172745,80550,92195,343220,192826,150394,0,0,0,True,punjab
54,total,all ages,595527,317522,278005,235696,115523,120173,359831,201999,157832,0,0,0,True,punjab
54,rural,all ages,404842,215210,189632,170436,83694,86742,234406,131516,102890,0,0,0,True,punjab
54,urban,all ages,190685,102312,88373,65260,31829,33431,125425,70483,54942,0,0,0,True,punjab
346,total,all ages,1322784,683575,639209,669308,278414,390894,653476,405161,248315,0,0,0,True,jharkhand
346,rural,all ages,1253114,646947,606167,645586,268495,377091,607528,378452,229076,0,0,0,True,jharkhand
346,urban,all ages,69670,36628,33042,23722,9919,13803,45948,26709,19239,0,0,0,True,jharkhand
347,total,all ages,1042886,533935,508951,532825,230033,302792,510061,303902,206159,0,0,0,True,jharkhand
347,rural,all ages,979932,500211,479721,513335,221466,291869,466597,278745,187852,0,0,0,True,jharkhand
347,urban,all ages,62954,33724,29230,19490,8567,10923,43464,25157,18307,0,0,0,True,jharkhand
348,total,all ages,716259,367222,349037,326010,128442,197568,390249,238780,151469,0,0,0,True,jharkhand
348,rural,all ages,575013,293595,281418,278866,109084,169782,296147,184511,111636,0,0,0,True,jharkhand
348,urban,all ages,141246,73627,67619,47144,19358,27786,94102,54269,39833,0,0,0,True,jharkhand
349,total,all ages,2445474,1258098,1187376,1191999,474362,717637,1253475,783736,469739,0,0,0,True,jharkhand
349,rural,all ages,2237450,1149608,1087842,1123937,444508,679429,1113513,705100,408413,0,0,0,True,jharkhand
349,urban,all ages,208024,108490,99534,68062,29854,38208,139962,78636,61326,0,0,0,True,jharkhand
350,total,all ages,1492073,775022,717051,698535,285185,413350,793538,489837,303701,0,0,0,True,jharkhand
350,rural,all ages,1233712,638136,595576,628820,255264,373556,604892,382872,222020,0,0,0,True,jharkhand
350,urban,all ages,258361,136886,121475,69715,29921,39794,188646,106965,81681,0,0,0,True,jharkhand
351,total,all ages,1313551,677927,635624,709032,301715,407317,604519,376212,228307,0,0,0,True,jharkhand
351,rural,all ages,1249132,643907,605225,689786,293197,396589,559346,350710,208636,0,0,0,True,jharkhand
351,urban,all ages,64419,34020,30399,19246,8518,10728,45173,25502,19671,0,0,0,True,jharkhand
352,total,all ages,1150567,589391,561176,667304,302088,365216,483263,287303,195960,0,0,0,True,jharkhand
352,rural,all ages,990901,505892,485009,606242,274783,331459,384659,231109,153550,0,0,0,True,jharkhand
352,urban,all ages,159666,83499,76167,61062,27305,33757,98604,56194,42410,0,0,0,True,jharkhand
353,total,all ages,900422,452661,447761,547541,245672,301869,352881,206989,145892,0,0,0,True,jharkhand
353,rural,all ages,832910,418251,414659,517357,231719,285638,315553,186532,129021,0,0,0,True,jharkhand
353,urban,all ages,67512,34410,33102,30184,13953,16231,37328,20457,16871,0,0,0,True,jharkhand
354,total,all ages,2684487,1405956,1278531,962283,391006,571277,1722204,1014950,707254,0,0,0,True,jharkhand
354,rural,all ages,1124093,581956,542137,474838,184812,290026,649255,397144,252111,0,0,0,True,jharkhand
354,urban,all ages,1560394,824000,736394,487445,206194,281251,1072949,617806,455143,0,0,0,True,jharkhand
355,total,all ages,2062330,1072807,989523,788810,313719,475091,1273520,759088,514432,0,0,0,True,jharkhand
355,rural,all ages,1078686,554954,523732,501508,197591,303917,577178,357363,219815,0,0,0,True,jharkhand
355,urban,all ages,983644,517853,465791,287302,116128,171174,696342,401725,294617,0,0,0,True,jharkhand
356,total,all ages,461790,232629,229161,202083,83061,119022,259707,149568,110139,0,0,0,True,jharkhand
356,rural,all ages,404379,203255,201124,186975,76402,110573,217404,126853,90551,0,0,0,True,jharkhand
356,urban,all ages,57411,29374,28037,15108,6659,8449,42303,22715,19588,0,0,0,True,jharkhand
357,total,all ages,2293919,1176902,1117017,786220,320376,465844,1507699,856526,651173,0,0,0,True,jharkhand
357,rural,all ages,1019328,514498,504830,471331,186606,284725,547997,327892,220105,0,0,0,True,jharkhand
357,urban,all ages,1274591,662404,612187,314889,133770,181119,959702,528634,431068,0,0,0,True,jharkhand
358,total,all ages,1939869,1006302,933567,915306,384596,530710,1024563,621706,402857,0,0,0,True,jharkhand
358,rural,all ages,1713866,887551,826315,846052,354982,491070,867814,532569,335245,0,0,0,True,jharkhand
358,urban,all ages,226003,118751,107252,69254,29614,39640,156749,89137,67612,0,0,0,True,jharkhand
359,total,all ages,726978,369666,357312,376296,159960,216336,350682,209706,140976,0,0,0,True,jharkhand
359,rural,all ages,675120,342566,332554,358962,152405,206557,316158,190161,125997,0,0,0,True,jharkhand
359,urban,all ages,51858,27100,24758,17334,7555,9779,34524,19545,14979,0,0,0,True,jharkhand
360,total,all ages,1734495,890881,843614,721246,294768,426478,1013249,596113,417136,0,0,0,True,jharkhand
360,rural,all ages,1459188,746934,712254,651179,264598,386581,808009,482336,325673,0,0,0,True,jharkhand
360,urban,all ages,275307,143947,131360,70067,30170,39897,205240,113777,91463,0,0,0,True,jharkhand
361,total,all ages,949443,494230,455213,352946,144199,208747,596497,350031,246466,0,0,0,True,jharkhand
361,rural,all ages,530488,272167,258321,229282,92255,137027,301206,179912,121294,0,0,0,True,jharkhand
361,urban,all ages,418955,222063,196892,123664,51944,71720,295291,170119,125172,0,0,0,True,jharkhand
362,total,all ages,1321442,668514,652928,649033,262239,386794,672409,406275,266134,0,0,0,True,jharkhand
362,rural,all ages,1231264,620928,610336,624604,251667,372937,606660,369261,237399,0,0,0,True,jharkhand
362,urban,all ages,90178,47586,42592,24429,10572,13857,65749,37014,28735,0,0,0,True,jharkhand
363,total,all ages,791042,404830,386212,364730,146570,218160,426312,258260,168052,0,0,0,True,jharkhand
363,rural,all ages,715296,365043,350253,343512,137758,205754,371784,227285,144499,0,0,0,True,jharkhand
363,urban,all ages,75746,39787,35959,21218,8812,12406,54528,30975,23553,0,0,0,True,jharkhand
364,total,all ages,2914253,1494937,1419316,1002820,409693,593127,1911433,1085244,826189,0,0,0,True,jharkhand
364,rural,all ages,1656918,840528,816390,703446,280176,423270,953472,560352,393120,0,0,0,True,jharkhand
364,urban,all ages,1257335,654409,602926,299374,129517,169857,957961,524892,433069,0,0,0,True,jharkhand
365,total,all ages,531885,266335,265550,247310,101594,145716,284575,164741,119834,0,0,0,True,jharkhand
365,rural,all ages,486903,243494,243409,235170,96494,138676,251733,147000,104733,0,0,0,True,jharkhand
365,urban,all ages,44982,22841,22141,12140,5100,7040,32842,17741,15101,0,0,0,True,jharkhand
366,total,all ages,1025213,514390,510823,465493,192595,272898,559720,321795,237925,0,0,0,True,jharkhand
366,rural,all ages,960132,481135,478997,450127,185968,264159,510005,295167,214838,0,0,0,True,jharkhand
366,urban,all ages,65081,33255,31826,15366,6627,8739,49715,26628,23087,0,0,0,True,jharkhand
367,total,all ages,599578,300309,299269,256095,108318,147777,343483,191991,151492,0,0,0,True,jharkhand
367,rural,all ages,556634,278425,278209,245218,103511,141707,311416,174914,136502,0,0,0,True,jharkhand
367,urban,all ages,42944,21884,21060,10877,4807,6070,32067,17077,14990,0,0,0,True,jharkhand
368,total,all ages,1502338,749385,752953,774777,310112,464665,727561,439273,288288,0,0,0,True,jharkhand
368,rural,all ages,1284304,637657,646647,713900,285712,428188,570404,351945,218459,0,0,0,True,jharkhand
368,urban,all ages,218034,111728,106306,60877,24400,36477,157157,87328,69829,0,0,0,True,jharkhand
369,total,all ages,1065056,544411,520645,452063,179079,272984,612993,365332,247661,0,0,0,True,jharkhand
369,rural,all ages,806310,408848,397462,371962,144302,227660,434348,264546,169802,0,0,0,True,jharkhand
369,urban,all ages,258746,135563,123183,80101,34777,45324,178645,100786,77859,0,0,0,True,jharkhand
468,total,all ages,2092371,1096737,995634,840052,357498,482554,1252319,739239,513080,0,0,0,True,gujarat
468,rural,all ages,1363836,713524,650312,622914,264339,358575,740922,449185,291737,0,0,0,True,gujarat
468,urban,all ages,728535,383213,345322,217138,93159,123979,511397,290054,221343,0,0,0,True,gujarat
469,total,all ages,3120506,1610379,1510127,1415583,561977,853606,1704923,1048402,656521,0,0,0,True,gujarat
469,rural,all ages,2705591,1393741,1311850,1290027,512102,777925,1415564,881639,533925,0,0,0,True,gujarat
469,urban,all ages,414915,216638,198277,125556,49875,75681,289359,166763,122596,0,0,0,True,gujarat
470,total,all ages,1343734,694397,649337,505821,199766,306055,837913,494631,343282,0,0,0,True,gujarat
470,rural,all ages,1062653,548324,514329,432036,169754,262282,630617,378570,252047,0,0,0,True,gujarat
470,urban,all ages,281081,146073,135008,73785,30012,43773,207296,116061,91235,0,0,0,True,gujarat
471,total,all ages,2035064,1056520,978544,532419,209021,323398,1502645,847499,655146,0,0,0,True,gujarat
471,rural,all ages,1520734,787175,733559,424925,163410,261515,1095809,623765,472044,0,0,0,True,gujarat
471,urban,all ages,514330,269345,244985,107494,45611,61883,406836,223734,183102,0,0,0,True,gujarat
472,total,all ages,2428589,1244231,1184358,849855,325606,524249,1578734,918625,660109,0,0,0,True,gujarat
472,rural,all ages,2064869,1056141,1008728,756880,287636,469244,1307989,768505,539484,0,0,0,True,gujarat
472,urban,all ages,363720,188090,175630,92975,37970,55005,270745,150120,120625,0,0,0,True,gujarat
473,total,all ages,1391753,723864,667889,361259,141178,220081,1030494,582686,447808,0,0,0,True,gujarat
473,rural,all ages,791126,408436,382690,227153,85131,142022,563973,323305,240668,0,0,0,True,gujarat
473,urban,all ages,600627,315428,285199,134106,56047,78059,466521,259381,207140,0,0,0,True,gujarat
474,total,all ages,7214225,3788051,3426174,1778465,762588,1015877,5435760,3025463,2410297,0,0,0,True,gujarat
474,rural,all ages,1151178,595583,555595,448100,172605,275495,703078,422978,280100,0,0,0,True,gujarat
474,urban,all ages,6063047,3192468,2870579,1330365,589983,740382,4732682,2602485,2130197,0,0,0,True,gujarat
475,total,all ages,1756268,909917,846351,662642,266696,395946,1093626,643221,450405,0,0,0,True,gujarat
475,rural,all ages,1259352,649475,609877,528649,211818,316831,730703,437657,293046,0,0,0,True,gujarat
475,urban,all ages,496916,260442,236474,133993,54878,79115,362923,205564,157359,0,0,0,True,gujarat
476,total,all ages,3804558,1974445,1830113,1079502,460370,619132,2725056,1514075,1210981,0,0,0,True,gujarat
476,rural,all ages,1590508,816264,774244,546573,223509,323064,1043935,592755,451180,0,0,0,True,gujarat
476,urban,all ages,2214050,1158181,1055869,532929,236861,296068,1681121,921320,759801,0,0,0,True,gujarat
477,total,all ages,2160119,1114192,1045927,763585,319052,444533,1396534,795140,601394,0,0,0,True,gujarat
477,rural,all ages,1189054,610088,578966,473319,195090,278229,715735,414998,300737,0,0,0,True,gujarat
477,urban,all ages,971065,504104,466961,290266,123962,166304,680799,380142,300657,0,0,0,True,gujarat
478,total,all ages,585449,300209,285240,191771,78588,113183,393678,221621,172057,0,0,0,True,gujarat
478,rural,all ages,299775,153260,146515,116582,47522,69060,183193,105738,77455,0,0,0,True,gujarat
478,urban,all ages,285674,146949,138725,75189,31066,44123,210485,115883,94602,0,0,0,True,gujarat
479,total,all ages,2743082,1404356,1338726,900264,357375,542889,1842818,1046981,795837,0,0,0,True,gujarat
479,rural,all ages,1836670,940271,896399,658510,259062,399448,1178160,681209,496951,0,0,0,True,gujarat
479,urban,all ages,906412,464085,442327,241754,98313,143441,664658,365772,298886,0,0,0,True,gujarat
480,total,all ages,1514190,771049,743141,518731,212869,305862,995459,558180,437279,0,0,0,True,gujarat
480,rural,all ages,1127555,572554,555001,412512,167616,244896,715043,404938,310105,0,0,0,True,gujarat
480,urban,all ages,386635,198495,188140,106219,45253,60966,280416,153242,127174,0,0,0,True,gujarat
481,total,all ages,2880365,1490201,1390164,993110,402830,590280,1887255,1087371,799884,0,0,0,True,gujarat
481,rural,all ages,1697964,868833,829131,668028,263807,404221,1029936,605026,424910,0,0,0,True,gujarat
481,urban,all ages,1182401,621368,561033,325082,139023,186059,857319,482345,374974,0,0,0,True,gujarat
482,total,all ages,2092745,1087224,1005521,541492,212743,328749,1551253,874481,676772,0,0,0,True,gujarat
482,rural,all ages,1457758,758499,699259,404648,155528,249120,1053110,602971,450139,0,0,0,True,gujarat
482,urban,all ages,634987,328725,306262,136844,57215,79629,498143,271510,226633,0,0,0,True,gujarat
483,total,all ages,2299885,1185727,1114158,639642,243247,396395,1660243,942480,717763,0,0,0,True,gujarat
483,rural,all ages,1776276,915197,861079,519035,192752,326283,1257241,722445,534796,0,0,0,True,gujarat
483,urban,all ages,523609,270530,253079,120607,50495,70112,403002,220035,182967,0,0,0,True,gujarat
484,total,all ages,2390776,1226961,1163815,949971,368907,581064,1440805,858054,582751,0,0,0,True,gujarat
484,rural,all ages,2055949,1053376,1002573,868115,334248,533867,1187834,719128,468706,0,0,0,True,gujarat
484,urban,all ages,334827,173585,161242,81856,34659,47197,252971,138926,114045,0,0,0,True,gujarat
485,total,all ages,2127086,1068651,1058435,1119915,469616,650299,1007171,599035,408136,0,0,0,True,gujarat
485,rural,all ages,1935461,970963,964498,1062909,445823,617086,872552,525140,347412,0,0,0,True,gujarat
485,urban,all ages,191625,97688,93937,57006,23793,33213,134619,73895,60724,0,0,0,True,gujarat
486,total,all ages,4165626,2153736,2011890,1272546,539649,732897,2893080,1614087,1278993,0,0,0,True,gujarat
486,rural,all ages,2099855,1077943,1021912,871247,362083,509164,1228608,715860,512748,0,0,0,True,gujarat
486,urban,all ages,2065771,1075793,989978,401299,177566,223733,1664472,898227,766245,0,0,0,True,gujarat
487,total,all ages,590297,301086,289211,219961,89319,130642,370336,211767,158569,0,0,0,True,gujarat
487,rural,all ages,528425,269408,259017,206748,83842,122906,321677,185566,136111,0,0,0,True,gujarat
487,urban,all ages,61872,31678,30194,13213,5477,7736,48659,26201,22458,0,0,0,True,gujarat
488,total,all ages,1551019,805707,745312,432743,182660,250083,1118276,623047,495229,0,0,0,True,gujarat
488,rural,all ages,1026060,529393,496667,320602,132509,188093,705458,396884,308574,0,0,0,True,gujarat
488,urban,all ages,524959,276314,248645,112141,50151,61990,412818,226163,186655,0,0,0,True,gujarat
489,total,all ages,228291,113821,114470,87323,36507,50816,140968,77314,63654,0,0,0,True,gujarat
489,rural,all ages,203604,101710,101894,82007,34310,47697,121597,67400,54197,0,0,0,True,gujarat
489,urban,all ages,24687,12111,12576,5316,2197,3119,19371,9914,9457,0,0,0,True,gujarat
490,total,all ages,1329672,678165,651507,327763,138694,189069,1001909,539471,462438,0,0,0,True,gujarat
490,rural,all ages,920535,464749,455786,244452,101826,142626,676083,362923,313160,0,0,0,True,gujarat
490,urban,all ages,409137,213416,195721,83311,36868,46443,325826,176548,149278,0,0,0,True,gujarat
491,total,all ages,1705678,887222,818456,535021,231694,303327,1170657,655528,515129,0,0,0,True,gujarat
491,rural,all ages,1070177,542644,527533,398972,170335,228637,671205,372309,298896,0,0,0,True,gujarat
491,urban,all ages,635501,344578,290923,136049,61359,74690,499452,283219,216233,0,0,0,True,gujarat
492,total,all ages,6081322,3402224,2679098,1509912,714756,795156,4571410,2687468,1883942,0,0,0,True,gujarat
492,rural,all ages,1232109,640060,592049,391665,170045,221620,840444,470015,370429,0,0,0,True,gujarat
492,urban,all ages,4849213,2762164,2087049,1118247,544711,573536,3730966,2217453,1513513,0,0,0,True,gujarat
493,total,all ages,807022,402188,404834,316986,133181,183805,490036,269007,221029,0,0,0,True,gujarat
493,rural,all ages,727535,361548,365987,297159,124814,172345,430376,236734,193642,0,0,0,True,gujarat
493,urban,all ages,79487,40640,38847,19827,8367,11460,59660,32273,27387,0,0,0,True,gujarat
99,total,all ages,1969168,1043340,925828,775825,332432,443393,1193343,710908,482435,0,0,0,True,rajasthan
99,rural,all ages,1433736,758269,675467,612364,261334,351030,821372,496935,324437,0,0,0,True,rajasthan
99,urban,all ages,535432,285071,250361,163461,71098,92363,371971,213973,157998,0,0,0,True,rajasthan
100,total,all ages,1774692,931184,843508,740556,306903,433653,1034136,624281,409855,0,0,0,True,rajasthan
100,rural,all ages,1424228,746887,677341,621569,256525,365044,802659,490362,312297,0,0,0,True,rajasthan
