district_code,area_type,age_group,total_persons,male_persons,female_persons,total_illiterate,male_illiterate,female_illiterate,total_literate,male_literate,female_literate,persons_check,illiterate_check,literate_check,is_valid
188,urban,all ages,836129,439051,397078,222429,96071,126358,613700,342980,270720,0,0,0,True
189,total,all ages,3564544,1818055,1746489,1609724,634333,975391,1954820,1183722,771098,0,0,0,True
189,rural,all ages,3396437,1730377,1666060,1550686,608532,942154,1845751,1121845,723906,0,0,0,True
189,urban,all ages,168107,87678,80429,59038,25801,33237,109069,61877,47192,0,0,0,True
190,total,all ages,3100946,1537436,1563510,1225707,458148,767559,1875239,1079288,795951,0,0,0,True
190,rural,all ages,2784143,1373111,1411032,1129716,417822,711894,1654427,955289,699138,0,0,0,True
190,urban,all ages,316803,164325,152478,95991,40326,55665,220812,123999,96813,0,0,0,True
191,total,all ages,4613913,2285004,2328909,1841996,725590,1116406,2771917,1559414,1212503,0,0,0,True
191,rural,all ages,4220512,2082707,2137805,1709369,666250,1043119,2511143,1416457,1094686,0,0,0,True
191,urban,all ages,393401,202297,191104,132627,59340,73287,260774,142957,117817,0,0,0,True
192,total,all ages,2205968,1114709,1091259,842924,341627,501297,1363044,773082,589962,0,0,0,True
192,rural,all ages,1706760,858843,847917,671008,265237,405771,1035752,593606,442146,0,0,0,True
192,urban,all ages,499208,255866,243342,171916,76390,95526,327292,179476,147816,0,0,0,True
193,total,all ages,3239774,1672902,1566872,1276184,511942,764242,1963590,1160960,802630,0,0,0,True
193,rural,all ages,2935665,1514018,1421647,1177030,468987,708043,1758635,1045031,713604,0,0,0,True
193,urban,all ages,304109,158884,145225,99154,42955,56199,204955,115929,89026,0,0,0,True
194,total,all ages,4494204,2220465,2273739,1762527,655071,1107456,2731677,1565394,1166283,0,0,0,True
194,rural,all ages,4147624,2041217,2106407,1656580,609019,1047561,2491044,1432198,1058846,0,0,0,True
194,urban,all ages,346580,179248,167332,105947,46052,59895,240633,133196,107437,0,0,0,True
195,total,all ages,3620268,1855075,1765193,1422719,561522,861197,2197549,1293553,903996,0,0,0,True
195,rural,all ages,3345908,1711651,1634257,1338167,525180,812987,2007741,1186471,821270,0,0,0,True
195,urban,all ages,274360,143424,130936,84552,36342,48210,189808,107082,82726,0,0,0,True
196,total,all ages,1952756,1017905,934851,778150,318451,459699,1174606,699454,475152,0,0,0,True
196,rural,all ages,1710203,890630,819573,696183,282067,414116,1014020,608563,405457,0,0,0,True
196,urban,all ages,242553,127275,115278,81967,36384,45583,160586,90891,69695,0,0,0,True
197,total,all ages,3676841,1921857,1754984,1272938,532741,740197,2403903,1389116,1014787,0,0,0,True
197,rural,all ages,2079790,1076526,1003264,778558,307070,471488,1301232,769456,531776,0,0,0,True
197,urban,all ages,1597051,845331,751720,494380,225671,268709,1102671,619660,483011,0,0,0,True
198,total,all ages,1578213,807099,771114,668067,260317,407750,910146,546782,363364,0,0,0,True
198,rural,all ages,1348911,686589,662322,581041,222637,358404,767870,463952,303918,0,0,0,True
198,urban,all ages,229302,120510,108792,87026,37680,49346,142276,82830,59446,0,0,0,True
199,total,all ages,2496970,1312302,1184668,1068287,446465,621822,1428683,865837,562846,0,0,0,True
199,rural,all ages,2149403,1127138,1022265,947819,393285,554534,1201584,733853,467731,0,0,0,True
199,urban,all ages,347567,185164,162403,120468,53180,67288,227099,131984,95115,0,0,0,True
200,total,all ages,1862559,971344,891215,876851,369356,507495,985708,601988,383720,0,0,0,True
200,rural,all ages,1548217,803345,744872,795341,335248,460093,752876,468097,284779,0,0,0,True
200,urban,all ages,314342,167999,146343,81510,34108,47402,232832,133891,98941,0,0,0,True
201,total,all ages,1774480,947339,827141,719278,300297,418981,1055202,647042,408160,0,0,0,True
201,rural,all ages,1506338,805589,700749,628622,259003,369619,877716,546586,331130,0,0,0,True
201,urban,all ages,268142,141750,126392,90656,41294,49362,177486,100456,77030,0,0,0,True
202,total,all ages,1436719,764165,672554,711869,311362,400507,724850,452803,272047,0,0,0,True
202,rural,all ages,1148512,612556,535956,582984,251994,330990,565528,360562,204966,0,0,0,True
202,urban,all ages,288207,151609,136598,128885,59368,69517,159322,92241,67081,0,0,0,True
